No,Place,Case, Latitude, Longitude
1,Chattogram,3 ,22.335109,91.834073
2,Chuadanga,1 ,23.6401961,88.841841
3,Cumilla,2,23.4682747,91.1788135
4,Cox's bazar,1,21.42722,92.017827
5,Dhaka,129,23.7115253,90.4111451
6,Gaibandha,5 ,25.328751,89.528088
7,Gazipur,1 ,24.0022858,90.4264283
8,Jamalpur,2 ,24.937533,89.937775
10,Kishoreganj,1,24.435427,90.781403
11,Madaripur,11 ,23.164102,90.1896805
12,Manikganj,3 ,23.864042,90.008446
13,Moulovi Bazar,1 ,24.482934,91.777417
14,Narayanganj,46,23.63366,90.496482
15,Narsingdi,4,23.932233,90.71541
16,Nilphamari,1,25.941281,88.844891
17,Rajbari,1,23.764804,89.646592
18,Rangpur,1 ,25.7558096,89.244462
19,Shariatpur,1 ,23.219041,90.34782
20,Sherpur,1 ,25.0204933,90.0152966
21,Sylhet,1 ,24.8897956,91.8697894
22,Tangail,2,24.246747,89.921189
