No,Place,No_of_Confirmed_Case, Latitude, Longitude
1,Adabor ,1 ,23.773504,90.35521
2,Mohammadpur ,6,23.764146,90.361358
3,Bosila ,1 ,23.75478,90.35887
4,Dhanmondi ,9,23.747344,90.376077
5,Jigatala ,3,23.739184,90.375477
6,Central Road ,1 ,23.741945,90.387985
7,Green Road ,2,23.748701,90.386278
8,Shahbag ,1 ,23.740487,90.394328
9,Buet Area ,1 ,23.726469,90.392908
10,Hazari Bag ,1 ,23.728038,90.37115
11,Urdu Road ,1 ,23.717228,90.39569
12,chawk Bazar,2,23.716994,90.396127
13,Lalbag ,5,23.721637,90.387644
14,Babu Bazar,2,23.711057,90.402484
15,Islampur ,2 ,23.710088,90.407091
16,Laxmibazar ,1 ,23.70959,90.414914
17,Narinda ,1 ,23.712576,90.419176
18,Showari Ghat ,3 ,23.711373,90.394644
19,Wari ,9,23.71802,90.417804
20,Kotowali ,1 ,23.710383,90.407958
21,Bongshal ,1 ,23.718489,90.403694
22,Jatrabari ,5,23.711397,90.435618
23,Purana Paltan ,2 ,23.731625,90.412128
24,Eskaton ,1 ,23.746842,90.40157
25,Baily Road ,1 ,23.741318,90.404049
26,Mogbazar ,1 ,23.750704,90.407893
27,Basabo ,9 ,23.741765,90.430691
28,Rampura ,1 ,23.763426,90.420439
29,Badda ,1 ,23.785812,90.429855
30,Bashundhora ,3,23.819621,90.44706
31,Nikunja ,1 ,23.826611,90.418645
32,Ashkona ,1 ,23.852731,90.418629
33,Uttara ,5,23.878829,90.376829
34,Gulshan ,6,23.792063,90.411808
35,Mohakhali ,1 ,23.77864,90.404675
36,Tejgaon,2,23.762439,90.391548
37,Kazi para ,1 ,23.749917,90.430586
38,Mirpur-10 ,2 ,23.797903,90.35497
39,Mirpur-11 ,2 ,23.815953,90.36622
40,Mirpur-13 ,1 ,23.80749,90.378327
41,Mirpur-1 ,8,23.793266,90.354803
42,Shah Ali Bag ,2 ,23.797644,90.356617
43,Pirerbag ,1 ,23.790121,90.367101
44,Tolarbag ,4,23.788205,90.350973
45,Uttar Tolarbag ,6 ,23.790924,90.351692
